,corp_code,corp_name,stock_code
258,00162993,한일홀딩스,3300
94,00267979,한일화학,7770
247,00159218,한전KPS,51600
539,00159209,한전기술,52690
1058,00194947,한전산업,130660
1238,00156600,한주라이트메탈,198940
2355,00146427,한주에이알티,58450
2454,00474588,한중엔시에스,107640
1351,00163512,한진,2320
1730,00163673,한진중공업홀딩스,3480
2022,00983040,한진칼,180640
1120,00163716,한창,5110
969,00202839,한창산업,79170
2281,00163761,한창제지,9460
2671,00534598,한컴라이프케어,372910
1224,00363592,한컴위드,54920
2458,00140566,한탑,2680
2037,00160588,한화,880
2608,01722437,한화갤러리아,452260
1450,01669226,한화리츠,451800
183,00113058,한화생명,88350
1284,00135917,한화손해보험,370
1530,00162461,한화솔루션,9830
377,00339391,한화시스템,272210
920,00126566,한화에어로스페이스,12450
1431,00361008,한화엔진,82740
1101,00111704,한화오션,42660
1867,00148610,한화투자증권,3530
336,01663055,한화플러스제3호스팩,430460
1361,01725160,한화플러스제4호스팩,455310
440,01032413,해성디에스,195870
1844,00219361,해성산업,34810
2212,00453442,해성에어로보틱스,59270
1327,00483735,해성옵틱스,76610
2490,00428321,해태제과식품,101530
515,00793155,핸디소프트,220180
706,00119140,핸즈코퍼레이션,143210
496,01160512,헝셩그룹,900270
928,01013311,헥토이노베이션,214180
880,00763701,헥토파이낸셜,234340
1518,00359395,헬릭스미스,84990
715,00164478,현대건설,720
1757,00164502,현대공업,170030
1760,01721809,현대그린푸드,453340
1708,00360595,현대글로비스,86280
589,00302926,현대로템,64350
635,00300548,현대리바트,79430
1477,00164788,현대모비스,12330
2262,01358463,현대무벡스,319400
671,00313649,현대바이오,48410
822,00347062,현대바이오랜드,52260
1723,00428251,현대백화점,69960
326,00125743,현대비앤지스틸,4560
2462,00164618,현대사료,16790
2558,00164706,현대약품,4310
304,00228536,현대에버다임,41440
426,00255044,현대에이치티,39010
924,00164724,현대엘리베이터,17800
2091,00362441,현대오토에버,307950
491,00106623,현대위아,11210
214,00656951,현대이지웰,90850
640,00164742,현대자동차,5380
1258,00145880,현대제철,4020
1567,00105280,현대지에프홀딩스,5440
2646,00137997,현대차증권,1500
618,00164812,현대코퍼레이션,11760
824,01108099,현대코퍼레이션홀딩스,227840
1711,00403632,현대퓨처넷,126560
722,00164973,현대해상,1450
1378,00412597,현대홈쇼핑,57050
1852,00667373,현대힘스,460930
952,00367455,현우산업,92300
1401,00808068,협진,138360
1600,00142713,형지I&C,11080
139,00441243,형지엘리트,93240
