,corp_code,corp_name,stock_code
2510,01214248,뉴트리,270870
934,00521390,뉴파워프라즈마,144960
333,00493510,뉴프렉스,85670
1215,00389970,다날,64260
2327,01416642,다보링크,340360
762,00268251,다산네트웍스,39560
2436,00624518,다산솔루에타,154040
1023,00353878,다스코,58730
1916,00156859,다올투자증권,30210
1119,00176914,다우기술,23590
2687,00238782,다우데이타,32190
2041,01344363,다원넥스뷰,323350
33,00523307,다원시스,68240
2158,00453488,다이나믹디자인,145210
596,00108913,대교,19680
422,00108977,대구백화점,6370
571,00109189,대덕,8060
574,01478712,대덕전자,353200
10,00109286,대동,490
2515,00910202,대동고려삼,178600
1114,00191287,대동금속,20400
1283,00109310,대동기어,8830
2371,00109268,대동스틸,48470
195,00157104,대동전자,8110
847,00109587,대륙제관,4780
915,00109754,대림비앤코,5750
1793,00109781,대림제지,17650
1494,00109824,대림통상,6570
1889,00104810,대명소노시즌,7720
1879,01150515,대명에너지,389260
1910,00450995,대모,317850
1095,01259418,대보마그네틱,290670
292,00442826,대봉엘에스,78140
1894,00390860,대산F&B,65150
2461,00121941,대상,1680
388,00539274,대상홀딩스,84690
1319,00177320,대성미생물,36480
1248,00828789,대성산업,128820
1581,00787376,대성에너지,117580
2665,00109037,대성창투,27830
17,00442905,대성파인텍,104040
481,00577335,대성하이텍,129920
1733,00108940,대성홀딩스,16710
776,01675014,대신밸런스제13호스팩,438220
800,01696451,대신밸런스제14호스팩,442310
1098,01751448,대신밸런스제15호스팩,457390
1338,01738483,대신밸런스제16호스팩,457630
1333,01792825,대신밸런스제17호스팩,471050
1956,00110875,대신정보통신,20180
591,00110893,대신증권,3540
2306,00318316,대아티아이,45390
1873,00111111,대양금속,9190
291,00111193,대양전기공업,108380
175,00111458,대영포장,14160
1855,00124540,대우건설,47040
1454,00111689,대우부품,9320
625,00111810,대웅,3090
2231,00427483,대웅제약,69620
2054,00111838,대원,7680
2189,00111847,대원강업,430
834,00351807,대원미디어,48910
9,00111874,대원산업,5710
30,00260392,대원전선,6340
2529,00111999,대원제약,3220
584,00112022,대원화성,24890
1183,00384948,대유,290380
567,00149804,대유에이텍,2880
248,00126089,대유플러스,300
356,00250997,대정화금,120240
2445,00112457,대주산업,3310
2424,00414540,대주이엔티,114920
833,00177816,대주전자재료,78600
2334,00112651,대창,12800
725,00112679,대창단조,15230
1931,00177870,대창솔루션,96350
648,00112721,대창스틸,140520
313,00608316,대한과학,131220
989,00113261,대한광통신,10170
2561,00207375,대한뉴팜,54670
19,00112970,대한방직,1070
2530,00113128,대한약품,23910
755,00260383,대한유화,6650
2157,00113207,대한전선,1440
1817,00113225,대한제강,84010
2457,00113234,대한제당,1790
2459,00113243,대한제분,1130
873,00113526,대한항공,3490
2354,00113535,대한해운,5880
2666,00113544,대한화섬,3830
2667,00113614,대현,16090
2232,00428729,대호에이엘,69460
2269,00166175,대호특수강,21040
2562,00210740,대화제약,67080
563,01214743,더네이쳐홀딩스,298540
1247,00205687,더라미,32860
1758,01010110,더블유게임즈,192080
659,01291317,더블유씨피,393890
1559,01318261,더블유에스아이,299170
628,00172291,더존비즈온,12510
1112,00530413,더코디,224060
1806,00991225,더콘텐츠온,302920
2452,00351454,더테크놀로지,43090
1021,01061558,덕산네오룩스,213420
709,01021666,덕산테코피아,317330
2307,00471068,덕산하이메탈,77360
501,00114093,덕성,4830
1875,00454937,덕신이피씨,90410
1178,00114154,덕양산업,24900
1692,00571298,덕우전자,263600
2438,01008762,데브시스터즈,194480
210,00877819,데이타솔루션,263800
449,00553025,데이터스트림즈,199150
207,01021949,덱스터,206560
861,01187494,덴티스,261200
2357,00526599,덴티움,145720
2313,01109690,도부마스크,227420
1090,00449379,도이치모터스,67990
1315,00114552,도화엔지니어링,2150
2531,00114686,동구바이오제약,6620
2088,00415594,동국S&C,100130
2174,00172680,동국산업,5160
1714,01765256,동국씨엠,460850
1285,00472890,동국알앤에스,75970
1959,01765265,동국제강,460860
2532,00114808,동국제약,86450
2370,00114792,동국홀딩스,1230
874,00115065,동남합성,23450
1015,00115287,동방,4140
1780,00526678,동방선기,99410
809,00115384,동방아그로,7590
1282,00115612,동부건설,5960
502,00144395,동서,26960
2533,00116268,동성제약,2210
452,00679314,동성케미컬,102260
1329,00231105,동성화인텍,33500
311,00116408,동신건설,25950
204,00116824,동아쏘시오홀딩스,640
2588,00956930,동아에스티,170900
2092,00489243,동아엘텍,88130
137,00178754,동아지질,28100
2300,01262458,동아타이어,282690
528,00199988,동아화성,41930
62,00117337,동양,1520
2243,00540641,동양고속,84670
1437,00117267,동양생명,82640
471,00178851,동양에스텍,60380
1232,00178790,동양이엔피,79960
857,00117629,동양철관,8970
1014,00993931,동양파일,228340
359,00117726,동양피스톤,92780
1845,00228712,동우팜투테이블,88910
939,00695969,동운아나텍,94170
2488,00340917,동원F&B,49770
1022,00117966,동원개발,13120
130,00118008,동원금속,18500
1281,00118026,동원산업,6040
2676,00118044,동원수산,30720
1749,00132637,동원시스템즈,14820
1476,00367710,동인기연,111380
