corporation,product,description,investment_round,total_investment,revenue,employee_num,keyword
이엘미디어컴퍼니,,"매니지먼트 및 방송 프로그램을 제작, 공급하는 기업",M&A,비공개,157.3억원,33,"콘텐츠/예술미디어, 방송, 영상/비디오, 연예인, B2B, 용역"
파인더,커피파인더,스페셜티 커피 브랜드 '커피파인더'를 운영하는 기업,비공개,비공개,-,8,"푸드/농업음료, 디저트, B2C, 오프라인매장, 커피"
로컬앤라이프,프루떼,농촌의 유휴 자연공간을 활용한 프라이빗 팜피크닉 플랫폼 '프루떼'를 운영하는 기업,seed,1.0억원,1.5억원,6,"푸드/농업농업, 공간정보, B2B, B2C, 플랫폼/마켓플레이스"
뉴앤디,비즐리,역직구 구매대행 플랫폼 '비즐리'를 운영하는 기업,seed,2.0억원,2.2억원,5,"커머스이커머스, 직구/역직구, B2C, 상품판매/브랜드/하드웨어"
다이닝갈비,다이닝갈비,숙성 한돈 숯불돼지갈비 브랜드 '다이닝갈비'를 운영하는 기업,M&A,비공개,-,,"푸드/농업신선식품, 가공식품, 축산업, 제조기술, B2C, 오프라인매장"
마제스떼,마제스티바버샵,남성 대상 바버샵 ‘마제스티바버샵‘을 운영하는 기업,M&A,비공개,"1,250.0만원",2,"뷰티/화장품헤어/바디, 미용실, B2C, 용역, 교육/컨설팅/용역, 오프라인매장"
수리엔,수리엔,AI 기반 수리 전문가 매칭 플랫폼 '수리엔'을 운영하는 기업,비공개,비공개,-,3,"모빌리티/교통, AI/딥테크/블록체인정비, 인공지능, B2B, B2C, 플랫폼/마켓플레이스"
매니지먼트에어,,연예인 발굴 및 매니지먼트를 운영하는 기업,비공개,비공개,-,4,"콘텐츠/예술미디어, 방송, 연예인, B2B, B2C, 상품판매/브랜드/하드웨어"
하이브로,드래곤빌리지,게임개발 기술 기반의 시뮬레이션 게임을 개발하는 기업,M&A,50.0억원 이상,140.0억원,84,"게임전략시뮬레이션, 콘텐츠"
미라큐어,,CAR-T 세포치료제 및 마이크로 의료 로봇 시스템을 개발하는 기업,비공개,비공개,-,7,"헬스케어/바이오바이오/의료, 암, 로봇, 제조기술, B2B"
브레인유,CAI,"AI, 빅데이터 기반 뇌파 및 생체 신호측정 헬스케어 의료기기를 생산하는 기업",series A,26.0억원,10.3억원,22,"헬스케어/바이오, 제조/하드웨어, AI/딥테크/블록체인디지털헬스케어, 의료기기, 인공지능, 빅데이터"
